,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70030,L,1979,2,1752957567260,29.81213,-90.451,Entergy,2025-07-19 20:39:59.781977
1,70037,L,7803,8,1752957567260,29.82797,-90.00612,Entergy,2025-07-19 20:39:59.781977
2,70047,L,5276,5,1752957567260,29.9648,-90.37318,Entergy,2025-07-19 20:39:59.781977
3,70070,L,5753,176,1752957567260,29.92437,-90.36795,Entergy,2025-07-19 20:39:59.781977
4,70079,L,1438,10,1752957567260,30.00633,-90.411,Entergy,2025-07-19 20:39:59.781977
5,70090,L,3566,1,1752957567260,29.97604,-90.69946,Entergy,2025-07-19 20:39:59.781977
6,70117,L,16881,1,1752957567260,29.97209,-90.03008,Entergy,2025-07-19 20:39:59.781977
7,70119,L,22264,20,1752957567260,29.97603,-90.08831,Entergy,2025-07-19 20:39:59.781977
8,70126,L,13065,6,1752957567260,30.01438,-90.02125,Entergy,2025-07-19 20:39:59.781977
9,70128,L,7362,1,1752957567260,30.04885,-89.95628,Entergy,2025-07-19 20:39:59.781977
10,70131,L,11551,92,1752957567260,29.91693,-89.98767,Entergy,2025-07-19 20:39:59.781977
11,70346,L,5054,1,1752957567260,30.10494,-91.00106,Entergy,2025-07-19 20:39:59.781977
12,70443,L,4758,7,1752957567260,30.61081,-90.54507,Entergy,2025-07-19 20:39:59.781977
13,70455,L,1421,1,1752957567260,30.51702,-90.33516,Entergy,2025-07-19 20:39:59.781977
14,70456,L,1321,1,1752957567260,30.76247,-90.51168,Entergy,2025-07-19 20:39:59.781977
15,70462,L,2687,1,1752957567260,30.38636,-90.58355,Entergy,2025-07-19 20:39:59.781977
16,70466,L,4209,1,1752957567260,30.55921,-90.51174,Entergy,2025-07-19 20:39:59.781977
17,70560,L,5282,1,1752957567260,29.98533,-91.84989,Entergy,2025-07-19 20:39:59.781977
18,70605,L,19942,4,1752957567260,30.16871,-93.24532,Entergy,2025-07-19 20:39:59.781977
19,70769,L,13781,83,1752957567260,30.31139,-90.94418,Entergy,2025-07-19 20:39:59.781977
20,70776,L,2393,85,1752957567260,30.28348,-91.11075,Entergy,2025-07-19 20:39:59.781977
21,70788,L,1953,2,1752957567260,30.15963,-91.16315,Entergy,2025-07-19 20:39:59.781977
22,70802,L,12430,1,1752957567260,30.44612,-91.1716,Entergy,2025-07-19 20:39:59.781977
23,70805,L,10882,2,1752957567260,30.49101,-91.14945,Entergy,2025-07-19 20:39:59.781977
24,70806,L,15743,1,1752957567260,30.44784,-91.12812,Entergy,2025-07-19 20:39:59.781977
25,70809,L,16133,1269,1752957567260,30.39812,-91.07447,Entergy,2025-07-19 20:39:59.781977
26,70810,L,22165,482,1752957567260,30.36238,-91.08926,Entergy,2025-07-19 20:39:59.781977
27,70814,L,5240,1,1752957567260,30.4824,-91.07228,Entergy,2025-07-19 20:39:59.781977
28,70815,L,12793,7,1752957567260,30.45703,-91.06799,Entergy,2025-07-19 20:39:59.781977
29,70816,L,17016,1,1752957567260,30.42356,-91.03448,Entergy,2025-07-19 20:39:59.781977
30,70817,L,12143,65,1752957567260,30.38227,-91.00252,Entergy,2025-07-19 20:39:59.781977
31,70819,L,1808,100,1752957567260,30.46623,-91.01298,Entergy,2025-07-19 20:39:59.781977
32,71008,L,629,2,1752957567260,32.36207,-92.97144,Entergy,2025-07-19 20:39:59.781977
33,71018,L,830,15,1752957567260,32.81184,-93.42929,Entergy,2025-07-19 20:39:59.781977
34,71028,L,935,5,1752957567260,32.53409,-93.0572,Entergy,2025-07-19 20:39:59.781977
35,71040,L,2011,1,1752957567260,32.79265,-93.04299,Entergy,2025-07-19 20:39:59.781977
36,71203,L,19357,8,1752957567260,32.5353,-92.04635,Entergy,2025-07-19 20:39:59.781977
37,71254,L,2844,1,1752957567260,32.78481,-91.23093,Entergy,2025-07-19 20:39:59.781977
38,71292,L,11380,3,1752957567260,32.43725,-92.19332,Entergy,2025-07-19 20:39:59.781977
39,71336,L,1086,1,1752957567260,32.04547,-91.65639,Entergy,2025-07-19 20:39:59.781977
40,71373,L,1182,1,1752957567260,31.56768,-91.4838,Entergy,2025-07-19 20:39:59.781977
