,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,38626,M,229,1,1752896667348,34.51057,-90.42836,Entergy,2025-07-19 03:45:11.114112
1,38631,M,516,4,1752896667348,34.3692,-90.64099,Entergy,2025-07-19 03:45:11.114112
2,38646,M,1332,25,1752896667348,34.26198,-90.2772,Entergy,2025-07-19 03:45:11.114112
3,38725,M,418,1,1752896667348,33.63252,-91.02236,Entergy,2025-07-19 03:45:11.114112
4,38772,M,155,1,1752896667348,33.59356,-91.07443,Entergy,2025-07-19 03:45:11.114112
5,38901,M,9312,2,1752896667348,33.7712,-89.80364,Entergy,2025-07-19 03:45:11.114112
6,39110,M,23174,20,1752896667348,32.48981,-90.12691,Entergy,2025-07-19 03:45:11.114112
7,39120,M,11331,1,1752896667348,31.55832,-91.35712,Entergy,2025-07-19 03:45:11.114112
8,39180,M,15635,2,1752896667348,32.29153,-90.85439,Entergy,2025-07-19 03:45:11.114112
9,39183,M,5878,7,1752896667348,32.3882,-90.81591,Entergy,2025-07-19 03:45:11.114112
10,39645,M,1170,1,1752896667348,31.16462,-90.80817,Entergy,2025-07-19 03:45:11.114112
11,39667,M,1710,4,1752896667348,31.12261,-90.13936,Entergy,2025-07-19 03:45:11.114112
