zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
38632,M,13796,6,1753192167455,34.81929,-89.99467,Entergy,2025-07-22 13:50:14.638039
38637,M,10276,10,1753192167455,34.95034,-90.04785,Entergy,2025-07-22 13:50:14.638039
38680,M,3289,1,1753192167455,34.95546,-90.12808,Entergy,2025-07-22 13:50:14.638039
38901,M,9313,5,1753192167455,33.7712,-89.80364,Entergy,2025-07-22 13:50:14.638039
38950,M,195,1,1753192167455,33.75916,-90.20335,Entergy,2025-07-22 13:50:14.638039
39038,M,1669,3,1753192167455,33.18247,-90.48032,Entergy,2025-07-22 13:50:14.638039
39046,M,10261,27,1753192167455,32.61025,-90.01947,Entergy,2025-07-22 13:50:14.638039
39071,M,2917,2,1753192167455,32.54281,-90.31087,Entergy,2025-07-22 13:50:14.638039
39073,M,5360,26,1753192167455,32.12856,-90.11806,Entergy,2025-07-22 13:50:14.638039
39110,M,23157,31,1753192167455,32.48981,-90.12691,Entergy,2025-07-22 13:50:14.638039
39145,M,1647,2,1753192167455,32.32186,-89.79919,Entergy,2025-07-22 13:50:14.638039
39180,M,15650,2,1753192167455,32.29153,-90.85439,Entergy,2025-07-22 13:50:14.638039
39203,M,2146,1,1753192167455,32.30929,-90.20299,Entergy,2025-07-22 13:50:14.638039
39209,M,11622,13,1753192167455,32.32817,-90.26082,Entergy,2025-07-22 13:50:14.638039
39212,M,11950,3,1753192167455,32.24771,-90.25779,Entergy,2025-07-22 13:50:14.638039
39213,M,9024,2,1753192167455,32.36139,-90.22258,Entergy,2025-07-22 13:50:14.638039
39272,M,6124,2,1753192167455,32.19375,-90.26983,Entergy,2025-07-22 13:50:14.638039
39601,M,8045,1,1753192167455,31.57434,-90.46337,Entergy,2025-07-22 13:50:14.638039
39645,M,1169,1,1753192167455,31.16462,-90.80817,Entergy,2025-07-22 13:50:14.638039
39648,M,7557,18,1753192167455,31.23154,-90.44124,Entergy,2025-07-22 13:50:14.638039
